Student_ID,Name,Class,Maths,Science,English,Computer,Social
STU0001,Surya Raj,A,70,66,63,52,48
STU0002,Surya Das,A,89,39,38,46,62
STU0003,Ananya Das,A,60,88,63,92,70
STU0004,Aarav Devi,D,78,70,54,62,78
STU0005,Diya Raj,D,47,80,79,68,40
STU0006,Priya Iyer,A,83,45,72,81,59
STU0007,Priya Raj,A,64,72,45,64,47
STU0008,Rahul Patel,D,81,55,82,80,61
STU0009,Surya Patel,A,56,66,55,94,83
STU0010,Kavin Das,B,76,42,64,39,75
STU0011,Rahul Patel,A,62,75,62,98,85
STU0012,Surya Iyer,B,68,52,66,68,89
STU0013,Nisha Reddy,C,63,52,100,98,46
STU0014,Aarav Raj,B,55,89,43,84,83
STU0015,Nisha Iyer,C,36,49,69,78,49
STU0016,Kavin Reddy,B,93,35,68,99,57
STU0017,Vignesh Raj,C,99,60,54,82,55
STU0018,Vignesh Das,A,76,97,37,49,81
STU0019,Kavin Sharma,A,65,45,45,97,43
STU0020,Vignesh Devi,B,95,56,68,89,62
STU0021,Vignesh Sharma,C,86,82,91,92,50
STU0022,Ananya Sharma,A,78,37,64,63,35
STU0023,Diya Kumar,B,43,39,77,44,100
STU0024,Ananya Patel,D,62,51,95,66,95
STU0025,Rahul Sharma,A,47,90,80,89,87
STU0026,Sneha Kumar,A,42,86,78,48,66
STU0027,Ananya Sharma,D,52,89,58,70,94
STU0028,Ananya Raj,D,47,41,36,46,65
STU0029,Arjun Reddy,D,96,62,86,42,56
STU0030,Rahul Kumar,D,68,93,71,89,97
STU0031,Arjun Sharma,C,62,42,42,75,42
STU0032,Aarav Nair,D,99,55,42,100,45
STU0033,Arjun Raj,A,65,86,50,66,40
STU0034,Nisha Raj,D,75,68,61,75,65
STU0035,Kavin Reddy,B,73,93,75,44,36
STU0036,Sneha Nair,A,44,62,99,68,51
STU0037,Gopika Raj,B,82,71,55,91,73
STU0038,Nisha Das,A,73,48,52,68,49
STU0039,Diya Das,B,69,71,61,78,61
